/
'12DGR120tipp                  '130.08317
'12DGR140tipp                  '130.08317
'12DGR141tipp                  '130.08317
'12DGR160tipp                  '130.08317
'12DGR161tipp                  '130.08317
'12DGR180tipp                  '130.08317
'12DGR181tipp                  '130.08317
'AIRC2                         ' 22.86764
'AIRC3_f                       ' -0.13466
'AIRC3_b                       '  0.00000
'AKGDH                         ' 58.16171
'AKGt2rpp_f                    '  0.00000
'AKGt2rpp_b                    '  0.00000
'AKGtex_f                      '  0.00000
'AKGtex_b                      '  0.00000
'ALAabcpp                      '  0.00000
'ALAALAabcpp                   ' 30.02021
'ALAALAD                       '292.68713
'ALAALAr_f                     '292.69507
'ALAALAr_b                     '  0.00000
'ALAALAtex_f                   '  0.00000
'ALAALAtex_b                   '  0.00000
'ALAGLUE_f                     ' 24.90954
'ALAGLUE_b                     '  0.00000
'ALAR_f                        ' 46.84523
'ALAR_b                        '  0.00000
'ALAt2pp                       '  0.00000
'ALAt4pp                       '  0.00000
'ALATA_D2                      '  0.00000
'ALATA_L_f                     ' -0.17073
'ALATA_L_b                     '  0.00000
'ALATA_L2                      '  0.00000
'ALAtex_f                      '  0.00000
'ALAtex_b                      '  0.00000
'ALATRS                        '  0.00000
'ALCD19_f                      '  0.00000
'ALCD19_b                      '  0.00000
'ALCD2x_f                      '  0.00000
'ALCD2x_b                      '  0.00000
'ALDD19x                       '  0.00000
'ALDD2x                        '292.68713
'ALDD2y                        '  0.00000
'ALDD3y                        '  0.00000
'ALDD4                         '  0.00000
'ALLabcpp                      '  0.00000
'ALLK                          '  0.00000
'ALLPI_f                       '  0.00000
'ALLPI_b                       '  0.00000
'ALLTAMH                       '  0.00000
'ALLtex_f                      '  0.00000
'ALLtex_b                      '  0.00000
'ALLTN                         '  0.00000
'ALLTNt2rpp_f                  '  0.00000
'ALLTNt2rpp_b                  '  0.00000
'ALLTNtex_f                    '  0.00000
'ALLTNtex_b                    '  0.00000
'ALLULPE_f                     '  0.00000
'ALLULPE_b                     '  0.00000
'ALPATE160pp                   '  0.00000
'ALPATG160pp                   '  0.00000
'ALR2                          '107.79099
'ALR4x                         '107.79099
'ALTRH                         '  0.00000
'AM3PA                         ' 30.01919
'AM4PA                         ' 29.26871
'AM4PCP                        ' 29.26871
'AMALT1                        '  0.00000
'AMALT2                        '  0.00000
'AMALT3                        '  0.00000
'AMALT4                        '  0.00000
'AMANAPEr_f                    '  0.00000
'AMANAPEr_b                    '  0.00000
'AMANK                         '  0.00000
'AMAOTr_f                      '  0.00000
'AMAOTr_b                      '  0.00000
'AMMQLT8                       '  0.00070
'AMPMS2                        '  0.00070
'AMPN                          '292.68713
'AMPTASECG                     ' 68.86756
'AMPTASEPG                     '  0.00000
'AMPtex_f                      '  0.00000
'AMPtex_b                      '  0.00000
'ANHGMtex_f                    '  0.00000
'ANHGMtex_b                    '  0.00000
'ANHMK                         ' 30.01919
'ANPRT                         ' 27.88805
'ANS                           ' 27.88805
'AOBUTDs                       '  0.00000
'AOXSr_f                       '  0.00000
'AOXSr_b                       '  0.00000
'AP4AH                         '  0.00000
'AP5AH                         '  0.00000
'APRAUR                        '  0.00139
'ARAI_f                        '  0.00000
'ARAI_b                        '  0.00000
'ARBabcpp                      '  0.00000
'ARBt2rpp_f                    '  0.00000
'ARBt2rpp_b                    '  0.00000
'ARBt3ipp                      '  0.00000
'ARBtex_f                      '  0.00000
'ARBtex_b                      '  0.00000
'ARBTNabcpp                    '141.90919
'ARBTNexs                      '141.90919
'ARBTNR1                       ' 70.95460
