* Pathways from iAF1260

ACGK	[c] : acglu + atp --> acg5p + adp
ACGS	[c] : accoa + glu-L --> acglu + coa + h
ACHBS	[c] : 2obut + h + pyr --> 2ahbut + co2
ACKr	[c] : ac + atp <==> actp + adp
ACLS	[c] : h + (2) pyr --> alac-S + co2
ACM6PH	[c] : acmum6p + h2o --> acgam6p + lac-D
ACMAMUT	[c] : uacmamu + unaga --> h + udp + unagamu
ACMANAptspp	acmana[p] + pep[c] --> acmanap[c] + pyr[c]
ACMANAtex	acmana[e] <==> acmana[p]
ACMUMptspp	acmum[p] + pep[c] --> acmum6p[c] + pyr[c]
ACMUMtex	acmum[e] --> acmum[p]
ACNAMt2pp	acnam[p] + h[p] --> acnam[c] + h[c]
ACNAMtex	acnam[e] <==> acnam[p]
ACNML	[c] : acnam --> acmana + pyr
ACOAD1f	[c] : btcoa + fad <==> b2coa + fadh2
ACOAD2f	[c] : fad + hxcoa <==> fadh2 + hx2coa
ACOAD3f	[c] : fad + occoa <==> fadh2 + oc2coa
ACOAD4f	[c] : dcacoa + fad <==> dc2coa + fadh2
ACOAD5f	[c] : ddcacoa + fad <==> dd2coa + fadh2
ACOAD6f	[c] : fad + tdcoa <==> fadh2 + td2coa
ACOAD7f	[c] : fad + pmtcoa <==> fadh2 + hdd2coa
ACOAD8f	[c] : fad + stcoa <==> fadh2 + od2coa
ACOATA	[c] : ACP + accoa <==> acACP + coa
ACODA	[c] : acorn + h2o --> ac + orn
ACOLIPAtex	acolipa[p] --> acolipa[e]
ACONIs	[c] : acon-T <==> acon-C
ACONMT	[c] : acon-T + amet --> aconm + ahcys
ACONTa	[c] : cit <==> acon-C + h2o
ACONTb	[c] : acon-C + h2o <==> icit
ACOTA	[c] : acorn + akg <==> acg5sa + glu-L
ACPS1	[c] : apoACP + coa --> ACP + h + pap
ACS	[c] : ac + atp + coa --> accoa + amp + ppi
ACSERtex	acser[e] <==> acser[p]
ACSERtpp	acser[c] --> acser[p]
ACt2rpp	ac[p] + h[p] <==> ac[c] + h[c]
ACt4pp	ac[p] + na1[p] --> ac[c] + na1[c]
ACtex	ac[e] <==> ac[p]
ADA	[c] : adn + h + h2o --> ins + nh4
ADCL	[c] : 4adcho --> 4abz + h + pyr
ADCS	[c] : chor + gln-L --> 4adcho + glu-L
ADD	[c] : ade + h + h2o --> hxan + nh4
ADEt2rpp	ade[p] + h[p] <==> ade[c] + h[c]
ADEtex	ade[e] <==> ade[p]
ADK1	[c] : amp + atp <==> (2) adp
ADK3	[c] : amp + gtp <==> adp + gdp
ADK4	[c] : amp + itp <==> adp + idp
ADMDC	[c] : amet + h --> ametam + co2
ADNCYC	[c] : atp --> camp + ppi
ADNK1	[c] : adn + atp --> adp + amp + h
ADNt2pp	adn[p] + h[p] --> adn[c] + h[c]
ADNt2rpp	adn[p] + h[p] <==> adn[c] + h[c]
ADNtex	adn[e] <==> adn[p]
ADNUC	[c] : adn + h2o --> ade + rib-D
ADOCBIK	[c] : adocbi + atp --> adocbip + adp + h
ADOCBLabcpp	adocbl[p] + atp[c] + h2o[c] --> adocbl[c] + adp[c] + h[c] + pi[c]
ADOCBLS	[c] : agdpcbi + rdmbzi --> adocbl + gmp + h
ADOCBLtonex	adocbl[e] + h[p] --> adocbl[p] + h[c]
ADPRDP	[c] : adprib + h2o --> amp + (2) h + r5p
ADPT	[c] : ade + prpp --> amp + ppi
ADSK	[c] : aps + atp --> adp + h + paps
ADSL1r	[c] : dcamp <==> amp + fum
ADSL2r	[c] : 25aics <==> aicar + fum
ADSS	[c] : asp-L + gtp + imp --> dcamp + gdp + (2) h + pi
AGDC	[c] : acgam6p + h2o --> ac + gam6p
AGM3PA	[c] : anhgm3p + h2o --> LalaDgluMdap + anhgm
AGM3PApp	[p] : anhgm3p + h2o --> LalaDgluMdap + anhgm
AGM3PH	[c] : anhgm3p + h2o --> acgam + anhm3p
AGM3Pt2pp	anhgm3p[p] + h[p] --> anhgm3p[c] + h[c]
AGM4PA	[c] : anhgm4p + h2o --> LalaDgluMdapDala + anhgm
AGM4PApp	[p] : anhgm4p + h2o --> LalaDgluMdapDala + anhgm
AGM4PCP	[c] : anhgm4p + h2o --> ala-D + anhgm3p
AGM4PCPpp	[p] : anhgm4p + h2o --> ala-D + anhgm3p
AGM4PH	[c] : anhgm4p + h2o --> acgam + anhm4p
AGM4Pt2pp	anhgm4p[p] + h[p] --> anhgm4p[c] + h[c]
AGMH	[c] : anhgm + h2o --> acgam + anhm
